"","Date","Station","Depth","Depth_m","COND_mmho_cm","Temperature_C","Salinity_PSU","Density_kg_m3","PAR.Irradiance","Fluorescence_mg_m3","Turbidity_NTU","BeamC_1_m","O2Con_umol_kg","O2Saturation","year","month","day","doy","Cruise","Lat","Long","pH","Alk","SiO4_uM","NO3_2_uM","PO4_uM","NH4_uM","PicoPlankton_Conc_cells_ml","Bacteria_Conc_cell_ml","Viral_Conc._cell_ml","Chl_Total_ug_l","CHL.20um_ug_l","CHL.3um_ug_l","FlowcamBiomass","Cyanobacteria_cells_mL","Picoeukaryotes_cells_mL","noeukaryotes_cells_mL"
"18",2012-09-11,1,18,18.0036666666667,NA,15.8704,31.7212166666667,23.2559,2.24666666666667,3.60863333333333,1.01713333333333,NA,227.160586666667,89.098,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2012-09-11,1,19,19.0758,NA,15.84834,31.72518,23.26386,1.554,3.64872,1.04916,NA,227.411556,89.159778,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2012-09-11,1,20,20.0636,NA,15.83448,31.72706,23.26838,1.1042,3.45722,1.18114,NA,226.984994,88.969194,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2012-09-11,1,21,20.9865,NA,15.830875,31.72775,23.2697,0.8005,3.254525,1.020025,NA,225.7067575,88.4622775,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2012-09-11,1,22,21.936,NA,15.81272,31.7313,23.27646,0.577,3.16684,1.04568,NA,226.475776,88.733774,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2012-09-11,1,23,22.903,NA,15.798475,31.733275,23.28115,0.40575,3.21545,1.178775,NA,226.896655,88.8747175,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2012-09-11,1,24,23.906,NA,15.7905,31.7343,23.283675,0.27875,3.08155,1.086475,NA,225.88901,88.4666175,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2012-09-11,1,25,24.92175,NA,15.784,31.73575,23.286225,0.1885,2.9776,1.30595,NA,225.83596,88.435265,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2012-09-11,1,26,25.9135,NA,15.73715,31.746275,23.30465,0.1205,2.922275,1.1851,NA,226.04798,88.442045,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2012-09-11,1,27,27,NA,15.65776,31.76008,23.33278,0.06428,2.79618,1.21392,NA,225.996242,88.29044,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2012-09-11,1,28,28.0885,NA,15.63455,31.7615,23.338975,0.029175,2.7836,1.560075,NA,225.2643825,87.96485,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2012-09-11,1,29,29.03475,NA,15.626325,31.760675,23.34015,0.00273925,2.611725,1.3949,NA,223.51572,87.2673825,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2012-09-11,1,30,29.9578,NA,15.62558,31.75986,23.33966,0.000105,2.609,1.2198,NA,222.345252,86.808604,2012,9,11,255,1,"43.54.20 N","69.34.66 W",NA,NA,NA,0.86,0.61,0.25,6016,1740000,36600000,NA,NA,NA,NA,500,3618,1898
"31",2012-09-11,1,31,30.943,NA,15.62618,31.7593,23.33912,9.912e-05,2.59648,1.14608,NA,222.608144,86.912022,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2012-09-11,1,32,31.932,NA,15.61832,31.76084,23.34204,9.624e-05,2.63964,1.17216,NA,222.56824,86.883656,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2012-09-11,1,33,33.2673076923077,NA,15.5571,31.7706846153846,23.363,8.87076923076923e-05,2.48099230769231,1.27860769230769,NA,222.177903076923,86.6314261538461,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2012-09-11,1,34,33.626775,NA,15.5542475,31.76892125,23.3623,8.703e-05,2.59160875,1.1798275,NA,220.90407225,86.12883075,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2012-09-11,1,35,35.0619333333333,NA,15.53864,31.77092,23.36725,8.61e-05,2.68809333333333,1.11833666666667,NA,220.852900666667,86.0832736666667,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2012-09-11,3,1,0.951166666666667,NA,16.3811041666667,31.824675,23.2207875,641.333333333333,2.82315416666667,0.499504166666667,NA,261.7389,103.7612625,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2012-09-11,3,2,1.85457142857143,NA,16.3771,31.8254428571429,23.2222714285714,443.142857142857,2.94768571428571,0.526871428571429,NA,262.905845714286,104.21617,2012,9,11,255,1,"43. 48. 65 N","69. 34. 10 W",NA,NA,NA,0,0.14,0.18,1076,1600000,3.1e+07,3.615,2.079,0.413,231000,673,254,149
"38",2012-09-11,3,3,3.0615,NA,16.3427875,31.8282875,23.2322625,306.25,3.8775875,0.6386875,NA,261.95055125,103.769655,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2012-09-11,3,4,4.0924,NA,16.23125,31.83626,23.26355,224.1,4.81511,0.67236,NA,265.651308,105.010021,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2012-09-11,3,5,5.01675,NA,15.95465625,31.84201875,23.32985,167.3125,5.14881875,0.72776875,NA,270.9351525,106.521050625,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2012-09-11,3,6,6.0375625,NA,15.36750625,31.8658125,23.4775375,118.425,4.6682875,0.63819375,NA,271.607634375,105.56977125,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2012-09-11,3,7,6.87672727272727,NA,15.2779818181818,31.8665818181818,23.4975818181818,90.9727272727273,4.72702727272727,0.585490909090909,NA,260.067437272727,100.903299090909,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2012-09-11,3,8,8.02345454545454,NA,15.2226909090909,31.8668272727273,23.5097636363636,66,4.63282727272727,0.583472727272727,NA,255.037925454545,98.8433236363636,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2012-09-11,3,9,9.054,NA,15.1865,31.8680416666667,23.5185,49.05,4.03618333333333,0.557025,NA,246.184156666667,95.3437283333333,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2012-09-11,3,10,10.0039090909091,NA,15.1657090909091,31.8690454545455,23.5237818181818,37.4,3.81917272727273,0.591009090909091,NA,242.291556363636,93.7976436363636,2012,9,11,255,1,"43. 48. 65 N","69. 34. 10 W",NA,NA,NA,0,0.32,0.21,14582,1820000,3.6e+07,NA,NA,NA,NA,3551,8847,2184
"46",2012-09-11,3,11,11.00825,NA,15.127,31.8737666666667,23.5357416666667,29.6916666666667,3.41960833333333,0.555241666666667,NA,241.620795833333,93.4683633333333,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2012-09-11,3,12,11.891125,NA,14.9235375,31.9047125,23.6031125,22.625,3.115375,0.55185,NA,241.88192125,93.2067025,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2012-09-11,3,13,12.886,NA,14.2991,32.0071,23.8133,17.24,2.63462,0.76344,NA,242.518868,92.342044,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2012-09-11,3,14,14.0605,NA,13.9278,32.057325,23.928825,13.275,1.972375,0.8164,NA,236.07661,89.242925,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2012-09-11,3,15,15.0331428571429,NA,13.6957428571429,32.0991285714286,24.0082,10.1014285714286,1.63225714285714,0.657042857142857,NA,217.656168571429,81.9150457142857,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2012-09-11,3,16,16.0448333333333,NA,13.25495,32.1841666666667,24.1621166666667,7.615,1.07178333333333,0.4559,NA,206.409863333333,77.0195833333333,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2012-09-11,3,17,17.064,NA,13.1089,32.2082,24.2095833333333,6.30666666666667,0.813033333333333,0.436583333333333,NA,203.387068333333,75.6741116666667,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2012-09-11,3,18,17.961,NA,13.0576166666667,32.2174833333333,24.22685,5.285,0.764966666666667,0.387383333333333,NA,199.06822,73.9931016666667,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2012-09-11,3,19,18.9808,NA,12.97898,32.22552,24.24846,4.354,0.76186,0.38068,NA,198.601774,73.703242,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2012-09-11,3,20,20.05925,NA,12.9485,32.244925,24.269425,3.61,0.712025,0.42355,NA,199.05478,73.8337325,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2012-09-11,3,21,20.9824,NA,12.7275,32.27568,24.33598,3.086,0.587,0.34572,NA,198.45827,73.289478,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2012-09-11,3,22,21.9993333333333,NA,12.38215,32.2984666666667,24.41985,2.535,0.51305,0.463466666666667,NA,199.719438333333,73.2364033333333,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2012-09-11,3,23,23.0506,NA,12.1953,32.31908,24.47112,2.086,0.48734,0.54808,NA,195.905078,71.566764,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2012-09-11,3,24,24.015,NA,12.080875,32.316325,24.4904,1.79,0.440775,0.57235,NA,190.689905,69.492915,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2012-09-11,3,25,25.091,NA,11.9415,32.34056,24.53514,1.514,0.4048,0.58396,NA,189.217886,68.764768,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2012-09-11,3,26,26.0098,NA,11.81326,32.37026,24.58188,1.272,0.4045,0.63096,NA,187.328608,67.907062,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2012-09-11,3,27,27.0606,NA,11.63794,32.38108,24.62242,1.0456,0.39168,0.78704,NA,185.82874,67.118394,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2012-09-11,3,28,28.043,NA,11.52725,32.37885,24.640825,0.8585,0.386625,0.95295,NA,184.527995,66.491295,2012,9,11,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
